iter	Passed	Remaining
416	2858	1096
417	2864	1089
418	2871	1082
419	2879	1076
420	2886	1069
421	2893	1062
422	2900	1056
423	2908	1049
424	2915	1042
425	2921	1035
426	2927	1028
427	2935	1021
428	2941	1014
429	2949	1008
430	2954	1000
431	2962	994
432	2968	987
433	2975	980
434	2983	973
435	2992	967
436	2997	960
437	3005	953
438	3011	946
439	3017	939
440	3023	932
441	3030	925
442	3037	918
443	3044	912
444	3050	904
445	3057	897
446	3064	891
447	3070	884
448	3077	877
449	3084	870
450	3090	863
451	3097	856
452	3104	849
453	3111	843
454	3117	835
455	3123	828
456	3130	822
457	3136	814
458	3142	807
459	3149	801
460	3156	794
461	3162	787
462	3168	780
463	3174	773
464	3181	766
465	3187	759
466	3195	752
467	3200	745
468	3208	738
469	3215	731
470	3222	725
471	3229	718
472	3236	711
473	3244	704
474	3250	698
475	3256	691
476	3263	684
477	3269	677
478	3275	670
479	3283	663
480	3289	656
481	3296	649
482	3303	642
483	3310	636
484	3316	629
485	3321	622
486	3328	615
487	3334	608
488	3341	601
489	3347	594
490	3354	587
491	3361	580
492	3367	573
493	3372	566
494	3379	559
495	3387	553
496	3394	546
497	3400	539
498	3405	532
499	3411	525
500	3420	518
501	3426	511
502	3431	504
503	3440	498
504	3446	491
505	3453	484
506	3460	477
507	3468	471
508	3474	464
509	3480	457
510	3487	450
511	3492	443
512	3498	436
513	3504	429
514	3512	422
515	3520	416
516	3528	409
517	3535	402
518	3542	395
519	3550	389
520	3555	382
521	3562	375
522	3569	368
523	3576	361
524	3583	354
525	3590	348
526	3596	341
527	3602	334
528	3608	327
529	3614	320
530	3620	313
531	3626	306
532	3633	299
533	3640	293
534	3648	286
535	3653	279
536	3660	272
537	3668	265
538	3674	259
539	3680	252
540	3686	245
541	3691	238
542	3698	231
543	3705	224
544	3713	218
545	3719	211
546	3725	204
547	3730	197
548	3737	190
549	3744	183
550	3751	177
551	3758	170
552	3763	163
553	3770	156
554	3776	149
555	3783	142
556	3789	136
557	3795	129
558	3801	122
559	3807	115
560	3813	108
561	3820	101
562	3825	95
563	3832	88
564	3838	81
565	3845	74
566	3852	67
567	3859	61
568	3866	54
569	3872	47
570	3878	40
571	3885	33
572	3891	27
573	3898	20
574	3904	13
575	3910	6
576	3917	0
